               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025258,           0.0097337,           0.0016496,             0.98137,             0.98845,             0.99423,             0.77194,             0.02415,           0.0051565,          0.00039752,            0.070303,           0.0032997,           0.0032997
                   1,            0.025376,           0.0089006,           0.0012453,             0.98927,             0.97334,             0.99182,             0.72361,            0.028652,           0.0052664,          0.00052653,            0.039646,           0.0059763,           0.0059763
                   2,            0.025643,           0.0092775,           0.0014396,             0.98872,             0.97308,             0.99275,             0.69507,            0.026238,           0.0054033,          0.00047038,           0.0083297,            0.007993,            0.007993
                   3,            0.023654,           0.0090641,           0.0014533,             0.99096,             0.98087,             0.99337,             0.72652,             0.02438,           0.0054886,          0.00055452,             0.00703,             0.00703,             0.00703
                   4,            0.022856,           0.0086624,             0.00128,             0.98992,             0.97929,             0.99254,             0.77864,             0.01896,           0.0050831,          0.00092442,             0.00703,             0.00703,             0.00703
                   5,            0.021239,           0.0087242,           0.0011807,             0.98096,               0.983,             0.99109,             0.78671,            0.018671,           0.0051842,          0.00087975,             0.00604,             0.00604,             0.00604
                   6,             0.01959,           0.0078627,           0.0010318,             0.99184,             0.99255,             0.99436,             0.76997,            0.019006,           0.0047616,           0.0005981,             0.00505,             0.00505,             0.00505
                   7,            0.018836,           0.0076701,          0.00099671,             0.98855,             0.98665,             0.99375,             0.80641,            0.016057,           0.0046067,          0.00068709,             0.00406,             0.00406,             0.00406
                   8,            0.017787,           0.0074646,           0.0007929,             0.98979,              0.9926,              0.9946,             0.83048,            0.014767,           0.0043552,          0.00067852,             0.00307,             0.00307,             0.00307
                   9,             0.01708,           0.0073097,          0.00062985,               0.988,              0.9926,             0.99464,             0.82681,            0.014936,           0.0043283,          0.00058103,             0.00208,             0.00208,             0.00208
