               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.017566,           0.0082478,          0.00089675,             0.99113,             0.98656,             0.99405,             0.84933,            0.014554,           0.0049901,          0.00013664,            0.070096,           0.0033227,           0.0033227
                   1,            0.019114,           0.0081576,          0.00088286,             0.99062,             0.98827,             0.99405,             0.82652,            0.016177,           0.0054187,          0.00030907,            0.039437,           0.0059971,           0.0059971
                   2,            0.021648,           0.0089138,           0.0011079,             0.98528,             0.98018,             0.99224,             0.79513,            0.017674,            0.005926,           0.0005186,            0.008118,           0.0080115,           0.0080115
                   3,             0.02196,           0.0092926,           0.0015926,             0.98543,              0.9764,             0.99267,             0.80333,            0.017526,           0.0058992,          0.00048826,             0.00703,             0.00703,             0.00703
                   4,            0.021236,           0.0090267,           0.0010392,             0.99066,             0.97166,             0.99214,             0.81059,            0.016437,           0.0058997,          0.00040495,             0.00703,             0.00703,             0.00703
                   5,            0.020409,           0.0088463,           0.0012812,             0.97654,             0.97813,             0.99219,             0.79947,            0.017096,           0.0058749,          0.00038856,             0.00604,             0.00604,             0.00604
                   6,            0.018971,           0.0084068,           0.0010769,             0.99406,             0.97991,             0.99406,             0.82764,            0.015904,           0.0056315,          0.00038297,             0.00505,             0.00505,             0.00505
                   7,            0.018048,           0.0080941,          0.00077744,             0.99238,             0.97734,             0.99347,             0.82834,            0.015535,           0.0054269,          0.00046739,             0.00406,             0.00406,             0.00406
                   8,            0.017109,           0.0078808,          0.00071074,             0.98343,             0.98493,             0.99401,             0.83532,            0.014886,           0.0051597,          0.00017954,             0.00307,             0.00307,             0.00307
                   9,            0.016367,           0.0075153,           0.0006552,             0.98986,             0.98082,             0.99414,             0.84525,             0.01435,           0.0050152,          0.00039616,             0.00208,             0.00208,             0.00208
